,Datetime,Open,High,Low,Close,Adj Close,Volume,buy_0.01,sell_0.01,returns_0.01,buy_0.03,sell_0.03,returns_0.03,buy_0.05,sell_0.05,returns_0.05,buy_0.1,sell_0.1,returns_0.1,dodreturn,returns
0,2020-12-28 11:30:00,671.489990234375,673.5499877929688,665.0800170898438,668.01318359375,668.01318359375,0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,,1.0
1,2020-12-28 12:30:00,667.9749755859375,671.4498901367188,665.9500122070312,668.9271240234375,668.9271240234375,2674064,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0.0013681472942954631,1.0013681472942955
2,2020-12-28 13:30:00,668.7817993164062,669.659912109375,666.3800048828125,668.1024780273438,668.1024780273438,1733599,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,-0.0012327889937153724,1.000133671663654
3,2020-12-28 14:30:00,668.1099853515625,669.1400146484375,665.75,666.6849975585938,666.6849975585938,1752353,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,-0.0021216512666369924,0.9980117367923624
4,2020-12-28 15:30:00,666.8200073242188,668.0399780273438,662.27001953125,663.77001953125,663.77001953125,2506717,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,-0.0043723468174901026,0.9936480833511806
5,2020-12-29 09:30:00,661.0,669.9000244140625,655.0,660.239990234375,660.239990234375,7953219,1,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,-0.005318151156281314,0.9883637126477698
6,2020-12-29 10:30:00,660.2449951171875,665.489990234375,659.0,661.1849975585938,661.1849975585938,3671042,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0.001431308824361377,0.9897783663513611
7,2020-12-29 11:30:00,661.21630859375,663.594970703125,657.5599975585938,658.9899291992188,658.9899291992188,2247893,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,-0.0033199004325268344,0.9864924007248055
8,2020-12-29 12:30:00,658.6699829101562,666.3699951171875,658.0,666.0999755859375,666.0999755859375,2495679,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0.0107893096262619,0.9971359726801798
9,2020-12-29 13:30:00,665.9901123046875,666.2399291992188,662.2454833984375,663.030029296875,663.030029296875,1633319,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,-0.004608837113921238,0.9925403354016654
10,2020-12-29 14:30:00,663.239990234375,665.8599853515625,660.75,664.0800170898438,664.0800170898438,1859105,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0.0015836202684247347,0.9941121423940366
